11,WindowBuyItemsVirtualVariants.TxtDescription.ID,"Дождитесь, пока энергия восполнится, или купите её прямо сейчас","Wait until the energy is replenished, or buy it now",Attendez que l'énergie soit reconstituée ou achetez-la maintenant,"Warten Sie, bis die Energie wieder aufgefüllt ist, oder kaufen Sie diese jetzt","Espera hasta que se reponga la energía, o cómprala ahora",Aguarde até que a energia seja reabastecida ou compre agora,Attendi fino a quando l'energia non viene ripristinata o acquistala ora,"Wacht tot de energie weer is aangevuld, of koop het nu","Poczekaj, aż energia się uzupełni lub kup teraz",Enerji yenilenene kadar bekleyin veya şimdi satın alın,等到能量补充完毕，或者现在就买,等到能量補充完畢，或者現在就買,에너지가 보충될 때까지 기다리거나 지금 구매하세요.,エネルギーが補充されるまで待つか、今すぐ購入してください,"Tunggu hingga energi terisi kembali, atau beli sekarang","Tunggu sehingga tenaga diisi semula, atau beli sekarang"
12,element679.name,Волшебные цветы,Magical flowers,Fleurs magiques,Magische Blumen,Flores mágicas,Flores mágicas,Fiori magici,Magische bloemen,Magiczne kwiaty,Sihirli çiçekler,神奇的花朵,神奇的花朵,마법의 꽃,魔法の花,Bunga ajaib,Bunga ajaib
13,element680.name,Звёзды,Stars,Étoiles,Sterne,Estrellas,Estrelas,Stelle,Sterren,Gwiazdy,Yıldızlar,星星,星星,별,出演者,Bintang,Bintang
14,element680.desr,"Доставляйте письма, чтобы получать звёзды",Deliver the letters to get stars,Livrer les lettres pour obtenir des étoiles,"Stellen Sie die Briefe zu, um Sterne zu erhalten",Entrega las cartas para conseguir estrellas,Entregue as cartas para obter estrelas,Consegna le lettere per ottenere le stelle,Lever de letters om sterren te krijgen,"Dostarcz listy, aby zdobyć gwiazdki",Yıldız almak için mektupları teslim et,投递信件以获得星星,傳遞信件以獲得星星,별을 얻으려면 편지를 배달하십시오,星を獲得するために手紙を届ける,Kirim surat untuk mendapatkan bintang,Hantar surat untuk mendapatkan bintang
15,element681.name,Почтовый сундук,Mail chest,Coffre à courrier,Briefkasten,Cofre de correo,Caixa de correio,Cassa di posta,Postkist,Skrzynka pocztowa,Posta sandığı,邮件箱,郵件箱,우편함,メールチェスト,Peti surat,Peti surat
16,FlappyReskin.Main.State.Game.Chests,Почтовые сундучки,Mail chests,Coffres de courrier,Briefkasten,Cofres de correo,Baús de correio,Casse di posta,Postkisten,Skrzynki pocztowe,Posta sandıkları,邮件箱,郵件箱,우편함,メールチェスト,Peti surat,Peti surat
17,FlappyReskin.Rating.Hint.CounterItem,Звёзд собрано,Stars collected,Étoiles collectées,Sterne gesammelt,Estrellas recogidas,Estrelas coletadas,Stelle raccolte,Sterren verzameld,Zebrane gwiazdki,Toplanan yıldızlar,收集的星星,收集的星星,수집된 별,集められた星,Bintang-bintang dikumpulkan,Bintang dikumpul
18,help42.page1.head,Управляйте полётом,Control the bird,Contrôlez l'oiseau,Den Vogel kontrollieren,Controla al pájaro,Controle o pássaro,Controlla l'uccello,Houd de vogel onder controle,Kontroluj ptaka,Kuşu kontrol et,控制鸟儿,控制鳥,새 제어,鳥を制御,Kendalikan burung itu,Kawal burung
19,help42.page2.desc,Избегайте столкновений с препятствиями на пути и старайтесь собрать как можно больше наград.,Do your best to avoid all the obstacles and collect all the stars on your way.,Faites de votre mieux pour éviter tous les obstacles et collectez toutes les récompenses sur votre chemin.,"Geben Sie Ihr Bestes, um alle Hindernisse zu umgehen und sammeln Sie alle Belohnungen auf Ihrem Weg.",Haz tu mejor esfuerzo para evitar todos los obstáculos y recolecta todas las estrellas en tu camino.,Faça o seu melhor para evitar todos os obstáculos e coletar todas as estrelas pelo caminho.,Fai del tuo meglio per evitare tutti gli ostacoli e raccogliere tutte le ricompense sulla tua strada.,Doe je best om alle obstakels te omzeilen en alle beloningen onderweg te verzamelen.,"Zrób wszystko, co w twojej mocy, aby ominąć wszystkie przeszkody i zebrać wszystkie nagrody na swojej drodze.",Yoluna çıkacak tüm engellerden kaçmak ve ödüllerin hepsini almak için elinden geleni yap.,尽力避免所有障碍，并沿途收集所有奖励。,盡力避免所有障礙，並在途中收集所有獎勵。,모든 장애물을 피하고 모든 별을 모으기 위해 최선을 다하십시오.,全力ですべての障害物を回避し、あらゆる報酬を収集。,Lakukan yang terbaik untuk menghindari semua rintangan dan kumpulkan semua hadiah di jalanmu.,Lakukan yang terbaik untuk mengelakkan semua halangan dan kumpulkan semua ganjaran dalam perjalanan anda.
20,help42.page3.head,"Доберитесь до финиша, чтобы доставить письма",Deliver the letters,Livrer les lettres,Briefe zustellen,Entregar las cartas,Entregue as cartas,Consegna le lettere,Bezorg de brieven,Dostarcz listy,Mektupları teslim et,投递信件,傳遞信件,편지 전달하기,手紙を届ける,Kirim surat-suratnya,Menghantar surat
21,FlappyReskin.WindowEnd.Convertation.Description,Оставшиеся конверты раскупили сказочные жители!,The remaining envelopes were sold to the farm inhabitants.,Les ressources restantes ont été vendues aux habitants de la ferme !,Die restlichen Umschläge wurden an die Bewohner des Bauernhofs verkauft.,Los sobres restantes se vendieron a los habitantes de la granja.,Os envelopes restantes foram vendidos aos moradores da fazenda.,Le restanti risorse sono state vendute agli abitanti della fattoria!,De resterende grondstoffen werden aan de boerenbewoners verkocht.,Resztę środków sprzedano mieszkańcom gospodarstwa!,Kalan kaynaklar çiftlik sakinlerine satıldı!,剩余的信封卖给了农场居民！,剩餘的資源賣給了農場居民！,남은 봍투는 농장 주민들에게 팔렸습니다!,残りのリソースは農家に売られました！,Amplop yang tersisa dijual kepada penduduk pertanian.,Baki sampul surat dijual kepada penduduk ladang.
22,FlappyReskin.EventsEnergy.Frame1,"Если закончились Волшебные цветы, нужно лишь немного подождать. Спустя некоторое время они восполнятся автоматически.","Don't worry if you ran out of magical flowers. After a while, they will replenish automatically.","Ne vous inquiétez pas si vous n'avez plus de fleurs magiques. Au bout d'un moment, ils se reconstitueront automatiquement.","Machen Sie sich keine Sorgen, wenn Ihnen die magischen Blumen ausgegangen sind. Nach einer Weile füllen sie sich automatisch auf.","No te preocupes si te quedaste sin flores mágicas. Después de un tiempo, se repondrán automáticamente.","Não se preocupe se você ficar sem flores mágicas. Depois de um tempo, eles serão reabastecidos automaticamente.",Non preoccuparti se hai finito i fiori magici. Dopo un po' si riempiranno automaticamente.,Maak je geen zorgen als je geen magische bloemen meer hebt. Na een tijdje worden ze automatisch aangevuld.,"Nie martw się, jeśli zabrakło Ci magicznych kwiatów. Po chwili uzupełnią się automatycznie.",Sihirli çiçekler tükendiyse endişelenme. Bir süre sonra otomatik olarak yenilenirler.,如果您用完了神奇的花朵，请不要担心。一段时间后，它们会自动补充。,如果您用完了神奇的花朵，請不要擔心。一段時間後，它們會自動補充。,마법의 꽃이 다 떨어졌다고 걱정하지 마세요. 잠시 후 자동으로 채워집니다.,魔法の花がなくなっても心配しないでください。しばらくすると、自動的に補充されます。,"Jangan khawatir jika kamu kehabisan bunga ajaib. Setelah beberapa saat, mereka akan mengisi ulang secara otomatis.","Jangan risau jika anda kehabisan bunga ajaib. Selepas beberapa ketika, akan diisi semula secara automatik."
23,FlappyReskin.frame1.Description,"Я очень рада тебя видеть! К нам в Изумрудный город приехало слишком много туристов, так что твоя помощь будет неоценима!","I'm so happy to see you! There are too many tourists in our town, so we can't handle with the amount of work. Your help would be invaluable!","Je suis si content de te voir ! Il y a trop de touristes dans notre ville, donc nous ne pouvons pas gérer la quantité de travail. Votre aide serait précieuse !","Ich bin so froh, Sie zu sehen! Es gibt zu viele Touristen in unserer Stadt, also können wir mit der Menge an Arbeit nicht umgehen. Ihre Hilfe wäre von unschätzbarem Wert!","¡Estoy tan feliz de verte! Hay demasiados turistas en nuestra ciudad, por lo que no podemos con la cantidad de trabajo. ¡Tu ayuda sería invaluable!","Estou tão feliz em ver você! Há muitos turistas em nossa cidade, então não podemos lidar com a quantidade de trabalho. Sua ajuda seria inestimável!","Sono così felice di vederti! Ci sono troppi turisti nella nostra città, quindi non possiamo gestire la quantità di lavoro. Il tuo aiuto sarebbe prezioso!","Ik ben zo blij je te zien! Er zijn te veel toeristen in onze stad, dus we kunnen de hoeveelheid werk niet aan. Jouw hulp zou van onschatbare waarde zijn!","Bardzo się cieszę, że cię widzę! W naszym mieście jest zbyt wielu turystów, więc nie możemy sobie poradzić z ilością pracy. Twoja pomoc byłaby nieoceniona!","Seni gördüğüme çok sevindim! Kasabamızda çok fazla turist var, bu yüzden iş miktarıyla baş edemiyoruz. Yardımınız paha biçilmez olurdu!",我很高兴见到您！我们镇上的游客太多了，我们应付不了工作量。您的帮助将是无价的！,我很高興見到你！我們鎮上的遊客太多了，我們應付不了工作量。您的幫助將是無價的！,만나서 정말 반가워요! 우리 마을에는 관광객이 너무 많아서 일의 양을 감당할 수 없습니다. 당신의 도움은 매우 중요합니다!,お会いできてうれしいです！私たちの町には観光客が多すぎるので、仕事量に対応できません。あなたの助けはかけがえのないものになるでしょう！,"Aku sangat senang melihatmu! Ada terlalu banyak turis di kota kami, jadi kami tidak bisa menangani dengan jumlah pekerjaan. Bantuanmu akan sangat berharga!","Saya sangat gembira berjumpa anda! Terdapat terlalu ramai pelancong di bandar kami, jadi kami tidak boleh mengendalikan dengan jumlah kerja. Bantuan anda amat berharga!"
